ROI_name	x	y	z	inner_radius	outer_radius	network	network_name
1_CortexLeft	-56.16	-44.76	-24.23	5	5	0	unassigned
2_CortexLeft	-24.66	-97.84	-12.33	5	6	0	unassigned
3_CortexRight	8.13	41.12	-24.31	5	6	0	unassigned
4_CortexRight	26.68	-97.3	-13.49	5	6	0	unassigned
5_CortexRight	48.52	-2.85	-38.49	5	6	0	unassigned
6_CortexRight	51.79	-34.17	-27.23	5	5	0	unassigned
7_CortexRight	55.18	-30.8	-16.93	5	5	0	unassigned
8_CortexLeft	-57.97	-25.69	-14.73	5	5	0	unassigned
9_CortexRight	64.6	-24.41	-18.57	5	5	0	unassigned
10_CortexLeft	-50.06	-7.09	-39.24	5	6	0	unassigned
11_CortexRight	33.55	38.46	-12.03	5	5	0	unassigned
12_CortexLeft	-46.68	-50.91	-20.91	5	5	0	unassigned
13_CortexLeft	-7.12	-52.22	60.71	5	5	10	SomatomotorDorsal
14_CortexMid	0.05	-14.53	46.74	5	6	10	SomatomotorDorsal
15_CortexLeft	-53.52	-22.54	43.1	5	6	10	SomatomotorDorsal
16_CortexLeft	-45.1	-31.85	46.63	5	6	10	SomatomotorDorsal
17_CortexLeft	-39.63	-19.04	54.21	5	6	10	SomatomotorDorsal
18_CortexLeft	-38.28	-27.17	69.45	5	5	10	SomatomotorDorsal
19_CortexLeft	-38.24	-14.57	68.72	5	5	10	SomatomotorDorsal
20_CortexLeft	-29.1	-43	60.66	5	6	10	SomatomotorDorsal
21_CortexLeft	-22.5	-30.1	72.44	5	5	10	SomatomotorDorsal
22_CortexLeft	-20.66	-31.33	60.85	5	5	10	SomatomotorDorsal
23_CortexLeft	-16.25	-45.8	73.22	5	6	10	SomatomotorDorsal
24_CortexLeft	-13.74	-17.95	39.84	5	6	10	SomatomotorDorsal
25_CortexLeft	-12.96	-17.34	74.66	5	5	10	SomatomotorDorsal
26_CortexLeft	-6.9	-20.59	65.21	5	5	10	SomatomotorDorsal
27_CortexLeft	-6.79	-33.09	72.27	5	6	10	SomatomotorDorsal
28_CortexRight	2.4	-27.94	60.15	5	5	10	SomatomotorDorsal
29_CortexRight	3.45	-17.44	58.45	5	5	10	SomatomotorDorsal
30_CortexRight	9.5	-1.84	44.73	5	6	10	SomatomotorDorsal
31_CortexRight	9.94	-45.52	72.63	5	6	10	SomatomotorDorsal
32_CortexRight	10.09	-17.1	74.14	5	6	10	SomatomotorDorsal
33_CortexRight	13.19	-32.82	74.98	5	6	10	SomatomotorDorsal
34_CortexRight	20.21	-28.8	59.8	5	6	10	SomatomotorDorsal
35_CortexRight	22.45	-42.29	68.99	5	5	10	SomatomotorDorsal
36_CortexRight	28.88	-16.95	70.55	5	6	10	SomatomotorDorsal
37_CortexRight	28.54	-39.24	59.17	5	5	10	SomatomotorDorsal
38_CortexRight	37.74	-17.3	45.01	5	5	10	SomatomotorDorsal
39_CortexRight	42.14	-20.24	54.59	5	5	10	SomatomotorDorsal
40_CortexRight	44.34	-7.55	56.98	5	6	10	SomatomotorDorsal
41_CortexRight	47.21	-29.75	48.7	5	5	10	SomatomotorDorsal
42_CortexRight	50.24	-20.37	41.74	5	5	10	SomatomotorDorsal
43_CortexRight	19.33	-7.71	63.88	5	5	10	SomatomotorDorsal
44_CortexRight	54.22	-27.83	33.64	5	6	10	SomatomotorDorsal
45_CortexLeft	-52.84	-10.23	24.41	5	5	11	SomatomotorLateral
46_CortexLeft	-49.47	-11.06	34.95	5	5	11	SomatomotorLateral
47_CortexRight	36.04	-9.44	13.95	5	5	11	SomatomotorLateral
48_CortexRight	51.14	-5.8	32.42	5	6	11	SomatomotorLateral
49_CortexRight	65.64	-7.88	24.83	5	5	11	SomatomotorLateral
50_CortexLeft	-51.26	8.26	-2.06	5	6	9	CinguloOpercular
51_CortexLeft	-44.76	0.1	8.83	5	5	9	CinguloOpercular
52_CortexLeft	-34.37	3.29	4.19	5	5	9	CinguloOpercular
53_CortexLeft	-16.14	-4.82	70.83	5	6	9	CinguloOpercular
54_CortexLeft	-10.48	-2.1	42.02	5	6	9	CinguloOpercular
55_CortexLeft	-5.33	17.8	34.41	5	5	9	CinguloOpercular
56_CortexLeft	-2.88	2.38	53.21	5	5	9	CinguloOpercular
57_CortexRight	6.52	7.69	50.58	5	5	9	CinguloOpercular
58_CortexRight	13.21	-1.36	69.98	5	5	9	CinguloOpercular
59_CortexRight	35.83	10.32	1.18	5	5	9	CinguloOpercular
60_CortexRight	36.73	0.78	-3.57	5	5	9	CinguloOpercular
61_CortexRight	49.4	8.32	-1.12	5	6	9	CinguloOpercular
62_CortexLeft	-30.12	-27.02	12.2	5	5	9	CinguloOpercular
63_CortexRight	42.05	-0.39	47.1	5	6	9	CinguloOpercular
64_CortexRight	35.91	21.91	2.62	5	5	9	CinguloOpercular
65_CortexLeft	-39.12	50.79	17.38	5	6	9	CinguloOpercular
66_CortexRight	31.24	32.79	26.39	5	6	9	CinguloOpercular
67_CortexRight	31.07	55.71	14.49	5	6	9	CinguloOpercular
68_CortexRight	36.89	32.35	-2.24	5	6	9	CinguloOpercular
69_CortexLeft	-52.92	-21.83	22.97	5	6	12	Auditory
70_CortexRight	43.45	-22.93	19.85	5	6	12	Auditory
71_CortexRight	59.4	-17.34	28.69	5	5	12	Auditory
72_CortexLeft	-60.48	-25.22	13.82	5	6	12	Auditory
73_CortexLeft	-55.22	-9.42	11.73	5	6	12	Auditory
74_CortexLeft	-49.77	-34.36	25.74	5	6	12	Auditory
75_CortexLeft	-49.14	-26.3	5.18	5	6	12	Auditory
76_CortexLeft	-38.43	-33.34	16.98	5	5	12	Auditory
77_CortexRight	31.75	-26.33	12.91	5	6	12	Auditory
78_CortexRight	55.96	-5.03	13.25	5	5	12	Auditory
79_CortexRight	57.88	-15.62	7.49	5	5	12	Auditory
80_CortexRight	65.43	-33.2	19.97	5	6	12	Auditory
81_CortexLeft	-68.47	-22.66	-15.74	5	5	1	DefaultMode
82_CortexLeft	-68.3	-41.41	-5.14	5	6	1	DefaultMode
83_CortexLeft	-57.75	-29.7	-3.94	5	5	1	DefaultMode
84_CortexLeft	-55.72	-12.96	-10.24	5	6	1	DefaultMode
85_CortexLeft	-52.89	2.55	-27.06	5	6	1	DefaultMode
86_CortexLeft	-49.3	-42.15	0.83	5	6	1	DefaultMode
87_CortexLeft	-45.79	-60.69	20.85	5	6	1	DefaultMode
88_CortexLeft	-46.17	31.26	-13.03	5	6	1	DefaultMode
89_CortexLeft	-44.45	-64.64	34.78	5	6	1	DefaultMode
90_CortexLeft	-43.58	11.99	-34.15	5	6	1	DefaultMode
91_CortexLeft	-40.5	-75.27	25.8	5	6	1	DefaultMode
92_CortexLeft	-39.05	-74.95	43.72	5	6	1	DefaultMode
93_CortexLeft	-35.36	19.86	50.8	5	6	1	DefaultMode
94_CortexLeft	-19.78	45.07	39.48	5	6	1	DefaultMode
95_CortexLeft	-20.16	63.65	19.39	5	6	1	DefaultMode
96_CortexLeft	-17.65	63.19	-9.17	5	6	1	DefaultMode
97_CortexLeft	-16.4	28.52	53.05	5	6	1	DefaultMode
98_CortexLeft	-12.6	-39.64	0.93	5	6	1	DefaultMode
99_CortexLeft	-11.29	-56.2	15.6	5	5	1	DefaultMode
100_CortexLeft	-10.09	39.09	52.29	5	6	1	DefaultMode
101_CortexLeft	-10.33	54.63	38.71	5	6	1	DefaultMode
102_CortexLeft	-11.06	44.62	7.61	5	5	1	DefaultMode
103_CortexLeft	-7.55	48.08	23.18	5	5	1	DefaultMode
104_CortexLeft	-6.84	-54.9	27.05	5	6	1	DefaultMode
105_CortexLeft	-7.04	50.82	-1.29	5	5	1	DefaultMode
106_CortexLeft	-2.94	-48.79	12.87	5	5	1	DefaultMode
107_CortexLeft	-2.2	-36.68	43.85	5	6	1	DefaultMode
108_CortexLeft	-3.06	44.41	-9.46	5	5	1	DefaultMode
109_CortexLeft	-2.06	37.85	36.34	5	5	1	DefaultMode
110_CortexLeft	-2.5	41.7	16.05	5	5	1	DefaultMode
111_CortexRight	5.55	66.69	-3.55	5	6	1	DefaultMode
112_CortexRight	5.91	-58.82	35.45	5	5	1	DefaultMode
113_CortexRight	5.94	54.42	16.18	5	5	1	DefaultMode
114_CortexRight	6.11	63.98	21.96	5	5	1	DefaultMode
115_CortexRight	7.94	-48.37	30.57	5	5	1	DefaultMode
116_CortexRight	7.51	42.49	-5.35	5	5	1	DefaultMode
117_CortexRight	8.36	47.59	-15.18	5	5	1	DefaultMode
118_CortexRight	8.8	54.23	3.45	5	6	1	DefaultMode
119_CortexRight	10.77	-53.83	17.09	5	6	1	DefaultMode
120_CortexRight	12.73	54.87	38.19	5	6	1	DefaultMode
121_CortexRight	13.08	29.99	58.65	5	6	1	DefaultMode
122_CortexRight	12.25	35.63	20.3	5	6	1	DefaultMode
123_CortexRight	15.12	-63.09	25.98	5	6	1	DefaultMode
124_CortexRight	22.11	39.21	38.9	5	5	1	DefaultMode
125_CortexRight	23.33	33.07	47.68	5	5	1	DefaultMode
126_CortexRight	43.43	-72.21	28	5	6	1	DefaultMode
127_CortexRight	45.64	16.2	-30.02	5	5	1	DefaultMode
128_CortexRight	46.68	-50.08	28.76	5	6	1	DefaultMode
129_CortexRight	49.26	35.47	-12.2	5	6	1	DefaultMode
130_CortexRight	52.04	-59.37	35.52	5	6	1	DefaultMode
131_CortexRight	52.16	-2.43	-16.4	5	6	1	DefaultMode
132_CortexRight	51.9	6.81	-29.61	5	5	1	DefaultMode
133_CortexRight	64.64	-11.8	-19.3	5	6	1	DefaultMode
134_CortexRight	64.8	-30.55	-8.7	5	5	1	DefaultMode
135_CortexLeft	-33.93	-38.06	-15.6	5	6	1	DefaultMode
136_CortexRight	4.2	-48.06	50.71	5	5	15	ParietoMedial
137_CortexLeft	-6.58	-71.47	41.74	5	6	15	ParietoMedial
138_CortexLeft	-2.47	-34.8	31.07	5	5	15	ParietoMedial
139_CortexRight	1.75	-24.25	30.36	5	5	15	ParietoMedial
140_CortexRight	11.27	-66.01	42.09	5	5	15	ParietoMedial
141_CortexLeft	-12.08	-94.56	-12.8	5	6	2	Visual
142_CortexRight	7.98	-91.08	-7.1	5	5	2	Visual
143_CortexRight	17.27	-91.09	-13.64	5	5	2	Visual
144_CortexLeft	-46.54	-75.95	-9.95	5	5	2	Visual
145_CortexLeft	-42.1	-73.62	0.38	5	5	2	Visual
146_CortexLeft	-40.21	-88.44	-6.19	5	6	2	Visual
147_CortexLeft	-33	-79.02	-13.24	5	6	2	Visual
148_CortexLeft	-28.07	-79.45	19.43	5	6	2	Visual
149_CortexLeft	-26.39	-90.23	3.12	5	6	2	Visual
150_CortexLeft	-23.94	-90.98	18.96	5	6	2	Visual
151_CortexLeft	-17.87	-68.03	4.81	5	6	2	Visual
152_CortexLeft	-16.21	-76.97	33.82	5	6	2	Visual
153_CortexLeft	-15.85	-52.34	-1.43	5	6	2	Visual
154_CortexLeft	-15.02	-72.42	-7.68	5	6	2	Visual
155_CortexLeft	-14.22	-90.66	31.4	5	6	2	Visual
156_CortexLeft	-8.43	-80.5	7.44	5	6	2	Visual
157_CortexLeft	-2.88	-81.25	21.1	5	6	2	Visual
158_CortexRight	5.59	-71.65	23.52	5	6	2	Visual
159_CortexRight	6.21	-81.41	6.11	5	5	2	Visual
160_CortexRight	8.45	-71.84	10.79	5	5	2	Visual
161_CortexRight	15.27	-87.09	36.89	5	5	2	Visual
162_CortexRight	15.18	-76.68	31	5	5	2	Visual
163_CortexRight	17.53	-46.86	-9.88	5	5	2	Visual
164_CortexRight	19.81	-65.56	1.72	5	6	2	Visual
165_CortexRight	19.64	-85.62	-2.39	5	6	2	Visual
166_CortexRight	24.41	-87.21	24.01	5	6	2	Visual
167_CortexRight	25.66	-79.47	-15.56	5	6	2	Visual
168_CortexRight	26.93	-59.37	-9.36	5	6	2	Visual
169_CortexRight	28.68	-76.62	25.42	5	5	2	Visual
170_CortexRight	36.76	-84.11	12.99	5	5	2	Visual
171_CortexRight	36.51	-81.16	1.2	5	5	2	Visual
172_CortexRight	39.98	-72.49	14.36	5	6	2	Visual
173_CortexRight	41.6	-65.5	-8.27	5	6	2	Visual
174_CortexRight	42.52	-78.17	-11.78	5	6	2	Visual
175_CortexLeft	-52.6	-48.83	42.5	5	6	3	FrontoParietal
176_CortexLeft	-46.5	10.85	23.04	5	6	3	FrontoParietal
177_CortexLeft	-43.93	1.8	45.7	5	6	3	FrontoParietal
178_CortexLeft	-42.23	38.21	21.35	5	6	3	FrontoParietal
179_CortexLeft	-42.09	-54.98	44.74	5	6	3	FrontoParietal
180_CortexLeft	-42.1	24.68	29.53	5	6	3	FrontoParietal
181_CortexLeft	-41.06	5.81	32.72	5	6	3	FrontoParietal
182_CortexLeft	-41.68	45.16	-2.31	5	6	3	FrontoParietal
183_CortexLeft	-34.16	54.83	4.36	5	6	3	FrontoParietal
184_CortexLeft	-28.4	-57.93	47.78	5	6	3	FrontoParietal
185_CortexLeft	-22.53	10.76	63.73	5	6	3	FrontoParietal
186_CortexLeft	-2.98	26.41	44.42	5	5	3	FrontoParietal
187_CortexRight	24.07	44.61	-15.35	5	5	3	FrontoParietal
188_CortexRight	31.83	14.37	55.98	5	6	3	FrontoParietal
189_CortexRight	33.38	-53.12	44.02	5	5	3	FrontoParietal
190_CortexRight	33.6	54.22	-12.95	5	6	3	FrontoParietal
191_CortexRight	37.45	-64.7	40.38	5	6	3	FrontoParietal
192_CortexRight	38.37	43.18	15.06	5	6	3	FrontoParietal
193_CortexRight	39.87	18.39	39.72	5	6	3	FrontoParietal
194_CortexRight	43.93	-52.95	46.95	5	5	3	FrontoParietal
195_CortexRight	43.25	49.25	-2.31	5	6	3	FrontoParietal
196_CortexRight	47.01	9.93	32.66	5	6	3	FrontoParietal
197_CortexRight	47.98	24.56	26.5	5	6	3	FrontoParietal
198_CortexRight	49.18	-42.41	45.16	5	5	3	FrontoParietal
199_CortexRight	58.31	-52.79	-13.61	5	6	3	FrontoParietal
200_CortexRight	47.6	22.16	9.74	5	6	3	FrontoParietal
201_CortexRight	55.27	-44.59	36.7	5	5	3	FrontoParietal
202_CortexLeft	-35.44	20.03	0.07	5	6	8	Salience
203_CortexLeft	-27.5	52.04	21.28	5	6	8	Salience
204_CortexLeft	-10.76	25.99	24.54	5	5	8	Salience
205_CortexLeft	-0.94	14.86	43.99	5	5	8	Salience
206_CortexLeft	-0.2	30.35	27.22	5	5	8	Salience
207_CortexRight	5.23	23.22	37.03	5	5	8	Salience
208_CortexRight	10.26	22.06	27.48	5	5	8	Salience
209_CortexRight	26.07	49.56	26.58	5	6	8	Salience
210_CortexRight	33.56	16.45	-7.58	5	5	8	Salience
211_CortexRight	51.28	-28.52	-4.3	5	6	7	VentralAttention
212_CortexLeft	-56.47	-50.48	9.92	5	5	7	VentralAttention
213_CortexLeft	-55.3	-39.89	13.51	5	5	7	VentralAttention
214_CortexRight	51.52	-32.52	7.55	5	6	7	VentralAttention
215_CortexRight	55.75	-46.07	11.42	5	5	7	VentralAttention
216_CortexLeft	-49.07	25.13	-0.98	5	6	7	VentralAttention
217_CortexLeft	-9.88	10.95	66.61	5	6	7	VentralAttention
218_CortexRight	52.68	32.58	0.57	5	6	7	VentralAttention
219_CortexRight	53.9	-42.76	21.83	5	5	7	VentralAttention
220_CortexLeft	-26.6	-70.72	36.86	5	6	5	DorsalAttention
221_CortexLeft	-37.26	-28.8	-25.58	5	6	5	DorsalAttention
222_CortexRight	45.68	-46.67	-16.85	5	6	5	DorsalAttention
223_CortexRight	10.51	-38.54	50.02	5	5	5	DorsalAttention
224_CortexLeft	-52.44	-63.14	5.29	5	6	5	DorsalAttention
225_CortexLeft	-42.26	-60.12	-8.85	5	6	5	DorsalAttention
226_CortexLeft	-32.56	-46.42	47.2	5	6	5	DorsalAttention
227_CortexLeft	-32.23	-1.08	54.06	5	6	5	DorsalAttention
228_CortexLeft	-16.5	-58.57	64.46	5	5	5	DorsalAttention
229_CortexRight	9.61	-61.5	60.88	5	6	5	DorsalAttention
230_CortexRight	21.9	-64.74	48.12	5	6	5	DorsalAttention
231_CortexRight	25.34	-58.18	60.34	5	6	5	DorsalAttention
